,id,cox,molecularFormula,Zodiac_Score
64,47808_1907_EMPv2_SIRIUS_2438,-1.7142857142857142,C21H46NO6P,1.0
65,18401_1907_EMPv2_SIRIUS_51639,-1.7272727272727273,C22H48NO6P,0.15829145728643218
66,10171_1907_EMPv2_SIRIUS_17012,0.2727272727272727,C22H21NO12,0.8778894472361809
67,3011_1907_EMPv2_SIRIUS_34868,-0.1111111111111111,C36H32O14,0.9989949748743718
68,19747_1907_EMPv2_SIRIUS_13657,-0.8,C40H61N3O10,0.033165829145728645
69,17314_1907_EMPv2_SIRIUS_50074,0.56,C25H44N14O8,0.01457286432160804
70,19806_1907_EMPv2_SIRIUS_50260,-0.4166666666666667,C24H44N6O8,1.0
71,43833_1907_EMPv2_SIRIUS_55917,-1.0666666666666667,C30H55NO10,0.37839195979899504
72,26732_1907_EMPv2_SIRIUS_23966,-1.6,C25H48NO5P,0.9959798994974872
73,19919_1907_EMPv2_SIRIUS_50535,-0.48,C25H46N6O8,1.0
74,38998_1907_EMPv2_SIRIUS_19211,0.0,C19H19N2O9P,0.01256281407035176
75,14730_1907_EMPv2_SIRIUS_13855,-0.7741935483870968,C31H53N3O10,0.9718592964824122
76,10111_1907_EMPv2_SIRIUS_10517,-1.0,C32H58N6O4,0.94321608040201
77,17863_1907_EMPv2_SIRIUS_41162,-0.6666666666666666,C15H26N3O6P,0.03618090452261306
78,34985_1907_EMPv2_SIRIUS_53692,-1.12,C25H45NO6S,0.1849246231155779
79,9027_1907_EMPv2_SIRIUS_43772,1.3846153846153846,C13H11N5O4S3,0.7542713567839197
80,6543_1907_EMPv2_SIRIUS_54331,-0.20689655172413793,C29H44N6O10,0.02361809045226131
81,1645_1907_EMPv2_SIRIUS_15436,-0.7096774193548387,C31H48O13,1.0
82,12012_1907_EMPv2_SIRIUS_16497,-0.48,C25H46N6O8,0.9984924623115576
83,46415_1907_EMPv2_SIRIUS_16044,-0.9696969696969697,C33H60N4O8,0.5613065326633166
84,9406_1907_EMPv2_SIRIUS_31731,0.47058823529411764,C17H27N9O4,0.015075376884422112
85,850_1907_EMPv2_SIRIUS_24426,-1.3333333333333333,C24H48NO9P,0.12562814070351758
86,45789_1907_EMPv2_SIRIUS_54575,-1.3,C40H71NO8,0.9366834170854272
87,14529_1907_EMPv2_SIRIUS_43294,0.7272727272727273,C11H13Br2N5O2,1.0
88,44082_1907_EMPv2_SIRIUS_34943,-1.5172413793103448,C29H54NO6P,0.9944723618090452
89,16207_1907_EMPv2_SIRIUS_37755,-0.8292682926829268,C41H60N2O10,0.2849246231155779
90,22731_1907_EMPv2_SIRIUS_19570,-0.8888888888888888,C27H47NO10,0.7864321608040201
91,50578_1907_EMPv2_SIRIUS_33597,-0.8888888888888888,C27H47NO10,0.0457286432160804
92,25880_1907_EMPv2_SIRIUS_19739,-0.8,C35H58O15,0.9994974874371858
93,47533_1907_EMPv2_SIRIUS_44523,0.14285714285714285,C14H29N7O5,0.01055276381909548
94,36292_1907_EMPv2_SIRIUS_44147,-1.4545454545454546,C22H44NO7P,1.0
